abbr,name
ENERC_KCAL,热量
PROCNT,蛋白质
CBH,碳水化合物
FIBTG,膳食纤维
LIP,脂肪
CHOLE,胆固醇
CA,钙
MG,镁
FE,铁
MN,锰
ZN,锌
CU,铜
K,钾
P,磷
NA,钠
SE,硒
VITA,维生素A
CART,胡罗卜素
VITA_RAE,视黄醇当量
THIA,硫胺素
RIBF,核黄素
NIA,烟酸
VITC,维生素C
VITE,维生素E
